Name,Graduation Rate
Aaniiih Nakoda College,0.3235
Abilene Christian University,0.6021
Abraham Baldwin Agricultural College,0.2912
Academy College,1.0
Academy of Art University,0.4046
Acupuncture and Massage College,0.7931
Adams State University,0.3165
Adelphi University,0.6893
Adrian College,0.5595
AdventHealth University,0.3562
Agnes Scott College,0.7052
Aims Community College,0.3507
Alabama A & M University,0.2874
Alabama State University,0.3018
Alaska Bible College,1.0
Alaska Pacific University,0.4688
Albany College of Pharmacy and Health Sciences,0.6882
Albany State University,0.2279
Albertus Magnus College,0.4609
Albion College,0.5709
Albizu University-Miami,0.6
Albizu University-San Juan,0.69
Albright College,0.4215
Alcorn State University,0.4615
Alfred University,0.555
Alice Lloyd College,0.2636
Allegheny College,0.6653
Allegheny Wesleyan College,0.4
Allen University,0.1323
Alliant International University-San Diego,0.2222
Alma College,0.6373
Alpena Community College,0.502
Alvernia University,0.5849
Alverno College,0.5051
America Evangelical University,1.0
American Academy of Art College,0.45
American Baptist College,0.3333
American College of the Building Arts,0.64
American Institute of Alternative Medicine,0.5455
American InterContinental University System,0.212
American InterContinental University-Atlanta,0.2105
American InterContinental University-Houston,0.4545
American International College,0.4228
American Jewish University,0.3077
American Medical Academy,0.7191
American Medical Sciences Center,1.0
American Musical and Dramatic Academy,0.7202
American National University,0.2632
American National University-Pikeville,0.5
American Public University System,0.5323
American Samoa Community College,0.4774
American University,0.7849
American University of Health Sciences,0.5
Amherst College,0.9342
Amridge University,0.4
Anderson University,0.4942
Anderson University,0.7099
Andrew College,0.2696
Andrews University,0.6593
Angeles College,0.9714
Angelo State University,0.4073
Anna Maria College,0.4044
Antelope Valley Community College District,0.3061
Antioch College,0.2632
Appalachian Bible College,0.7561
Appalachian State University,0.7311
Aquinas College,0.625
Arapahoe Community College,0.2679
Arcadia University,0.6401
Arizona Christian University,0.4145
Arizona College of Nursing-Las Vegas,0.75
Arizona College of Nursing-Tempe,0.0909
Arizona State University Campus Immersion,0.6785
Arkansas Baptist College,0.0798
Arkansas State University,0.551
Arkansas Tech University,0.4866
Arlington Baptist University,0.0455
Art Academy of Cincinnati,0.4444
Art Center College of Design,0.8261
Asbury University,0.65
Ascent College,0.5
Ashford University,0.0877
Ashland University,0.6059
Associated Beth Rivkah Schools,0.7407
Assumption University,0.7459
ATA Career Education,0.6296
ATA College-Cincinnati,0.7143
Atenas College,0.4259
ATI College-Whittier,0.2
Atlanta Metropolitan State College,0.1429
Atlantic University,0.3574
Atlantis University,0.6129
Auburn University,0.7921
Auburn University at Montgomery,0.3568
Augsburg University,0.5244
Augusta University,0.4865
Augustana College,0.7918
Augustana University,0.7563
Aultman College of Nursing and Health Sciences,0.5185
Aurora University,0.5832
Austin College,0.6949
Austin Community College District,0.18
Austin Peay State University,0.445
Ave Maria University,0.5548
Averett University,0.4357
Aviator College of Aeronautical Science and Technology,0.5833
Avila University,0.4262
Azusa Pacific University,0.6442
Babson College,0.9236
Bacone College,0.0239
Bais Binyomin Academy,0.5714
Bais HaMedrash and Mesivta of Baltimore,0.12
Bais Medrash Mayan Hatorah,0.65
Bais Medrash of Dexter Park,0.8571
Bais Medrash Toras Chesed,0.3214
Baker College,0.3133
Baker University,0.5938
Bakersfield College,0.2263
Baldwin Wallace University,0.6861
Ball State University,0.6327
Baptist Health Sciences University,0.5375
Baptist University of Florida,0.6923
Baptist University of the Americas,0.2727
Barclay College,0.5517
Bard College,0.7271
Bard College at Simon's Rock,0.5417
Barnard College,0.9294
Barry University,0.3659
Barton College,0.5152
Bates College,0.9059
Bay Mills Community College,0.3036
Bay Path University,0.5694
Baylor University,0.8016
Be'er Yaakov Talmudic Seminary,0.5304
Beacon College,0.5732
Beal University,0.3415
Beckfield College-Florence,0.303
Beis Medrash Heichal Dovid,0.1765
Belhaven University,0.5113
Bellarmine University,0.6775
Bellevue College,0.335
Bellevue University,0.5588
Bellin College,0.7429
Bellingham Technical College,0.4545
Belmont Abbey College,0.4637
Belmont University,0.717
Beloit College,0.6718
Bemidji State University,0.534
Benedict College,0.2115
Benedictine College,0.6507
Benedictine University,0.5095
Benjamin Franklin Cummings Institute of Technology,0.4716
Bennett College,0.2063
Bennington College,0.6667
Bentley University,0.8821
Berea College,0.6204
Berkeley College-New York,0.4025
Berkeley College-Woodland Park,0.4476
Berklee College of Music,0.6635
Berry College,0.7391
Bet Medrash Gadol Ateret Torah,0.5217
Beth Hamedrash Shaarei Yosher Institute,0.35
Beth Medrash Meor Yitzchok,0.4921
Bethany College,0.2867
Bethany College,0.4625
Bethany Global University,0.6119
Bethany Lutheran College,0.5956
Bethel College-North Newton,0.4309
Bethel University,0.5721
Bethel University,0.7522
Bethel University,0.349
Bethesda University,0.1818
Bethlehem College & Seminary,0.5
Bethune-Cookman University,0.2783
Beulah Heights University,0.1667
Big Bend Community College,0.3667
Binghamton University,0.8365
Biola University,0.6881
Birmingham-Southern College,0.6418
Bismarck State College,0.4803
Black Hills State University,0.3858
Blackburn College,0.5241
Blackfeet Community College,0.0769
Bloomfield College,0.3105
Blue Mountain Christian University,0.512
Bluefield State University,0.3456
Bluefield University,0.2714
Bluffton University,0.4952
Bob Jones University,0.6961
Boise Bible College,0.4815
Boise State University,0.6187
Boricua College,0.7063
Boston Architectural College,0.3846
Boston Baptist College,0.4444
Boston College,0.9099
Boston University,0.8997
Bowdoin College,0.956
Bowie State University,0.3814
Bowling Green State University-Firelands,0.1016
Bowling Green State University-Main Campus,0.6277
Bradley University,0.7214
Brandeis University,0.8611
Brazosport College,0.3867
Brenau University,0.3536
Brescia University,0.4597
Brevard College,0.3902
Brewton-Parker College,0.2349
Briar Cliff University,0.4937
Bridgewater College,0.4944
Bridgewater State University,0.5461
Brigham Young University,0.8221
Brigham Young University-Hawaii,0.5439
Brigham Young University-Idaho,0.5508
Brookline College-Albuquerque,0.6528
Brookline College-Phoenix,0.5023
Brookline College-Tempe,0.6548
Broward College,0.3611
Brown University,0.9595
Bryan College of Health Sciences,0.7547
Bryan College-Dayton,0.5593
Bryan University,0.275
Bryan University,0.24
Bryant & Stratton College-Albany,0.2195
Bryant & Stratton College-Buffalo,0.275
Bryant & Stratton College-Greece,0.3043
Bryant & Stratton College-Online,0.1833
Bryant & Stratton College-Parma,0.2069
Bryant & Stratton College-Syracuse North,0.25
Bryant & Stratton College-Virginia Beach,0.281
Bryant & Stratton College-Wauwatosa,0.2349
Bryant University,0.8061
Bryn Athyn College of the New Church,0.4632
Bryn Mawr College,0.8559
Bucknell University,0.8623
Buena Vista University,0.4729
Bushnell University,0.6176
Butler University,0.8015
Cabarrus College of Health Sciences,0.4545
Cabrini University,0.5052
Cairn University-Langhorne,0.6516
Caldwell University,0.587
California Aeronautical University,0.4194
California Baptist University,0.5953
California Career College,1.0
California College of ASU,0.4842
California College of the Arts,0.5872
