Name,lon,lat
A Better U Beauty Barber Academy,-106.583765,35.11063
A T Still University of Health Sciences,-92.589183,40.193648
Aaniiih Nakoda College,-108.757816,48.484196
ABC Adult School,-118.070114,33.878179
ABC Beauty Academy,-96.685333,32.931698
ABCO Technology,-118.369774,33.932121
Abcott Institute,-83.210617,42.446331
Abilene Christian University,-99.709797,32.468943
Abilene Christian University-Undergraduate Online,-96.826833,32.977065
Abraham Baldwin Agricultural College,-83.528281,31.481889
Abraham Lincoln University,-118.256726,34.146294
Academia Medical Institute,-83.092451,39.955242
Academia Serrant Inc,-66.61529,18.009658
Academy College,-93.299809,44.855722
Academy Di Capelli-School of Cosmetology,-72.806335,41.490402
Academy for Careers and Technology,-79.340157,34.186433
Academy for Five Element Acupuncture,-82.321994,29.650075
Academy for Jewish Religion,-73.90014,40.936234
Academy for Jewish Religion California,-118.415744,33.97085
Academy for Nursing and Health Occupations,-80.121497,26.70653
Academy for Salon Professionals,-118.558215,34.23396
Academy of Allied Health Careers,-85.214313,35.008533
Academy of Art University,-122.400578,37.787943
Academy of Beauty Professionals,-88.097926,44.52349
Academy of Beauty Professionals,-88.461527,44.266271
Academy of Beauty Professionals,-94.467053,38.812989
Academy of Beauty Professionals,-89.490781,43.05541
Academy of Career Training,-81.439569,28.306092
Academy of Careers and Technology,-81.165435,37.795299
Academy of Chinese Culture and Health Sciences,-122.269839,37.805972
Academy of Cosmetology,-80.70372,28.394053
Academy of Cosmetology Barbering and Esthetics,-97.547105,35.374805
Academy of Cosmetology Inc,-111.039848,45.680544
Academy of Esthetics and Cosmetology,-118.444228,34.285043
Academy of Hair Design-Grenada,-89.825313,33.775198
Academy of Hair Design-Jackson,-90.147044,32.376376
Academy of Hair Design-Jasper,-94.004879,30.908648
Academy of Hair Design-Las Vegas,-115.210473,36.15846
Academy of Hair Design-Lufkin,-94.718704,31.330724
Academy of Hair Design-Pearl,-90.115129,32.281983
Academy of Hair Design-Springfield,-93.261354,37.180584
Academy of Hair Technology,-82.327426,34.874681
Academy of Interactive Entertainment,-92.043315,30.220037
