Name,SAT Average
Abilene Christian University,1189
Abraham Baldwin Agricultural College,994
Adelphi University,1224
Adrian College,1030
Agnes Scott College,1296
Alabama A & M University,947
Alabama State University,977
Albany College of Pharmacy and Health Sciences,1280
Alcorn State University,1039
Alfred University,1205
Alice Lloyd College,980
Allegheny College,1292
Alvernia University,1160
American College of the Building Arts,1137
American University,1392
Amherst College,1494
Anderson University,1054
Anderson University,1190
Andrews University,1177
Angelo State University,1049
Appalachian Bible College,1068
Appalachian State University,1187
Aquinas College,1087
Arcadia University,1210
Arkansas State University,1119
Arkansas Tech University,1050
Ashland University,1119
Auburn University,1318
Auburn University at Montgomery,1090
Augusta University,1113
Augustana College,1133
Augustana University,1187
Aultman College of Nursing and Health Sciences,1020
Aurora University,1072
Austin College,1272
Austin Peay State University,1050
Averett University,1054
Avila University,942
Azusa Pacific University,1155
Babson College,1435
Baker College,1080
Baker University,950
Baldwin Wallace University,1176
Ball State University,1172
Baptist Health College Little Rock,980
Baptist Health Sciences University,1050
Baptist University of Florida,1045
Bard College,1387
Barnard College,1500
Bates College,1446
Baylor University,1313
Belhaven University,1050
Bellarmine University,1208
Belmont Abbey College,1082
Belmont University,1277
Beloit College,1318
Bemidji State University,1090
Benedict College,910
Benedictine College,1244
Bennett College,890
Bennington College,1358
Bentley University,1340
Berea College,1248
Berry College,1223
Bethany Lutheran College,1144
Bethel University,1073
Bethel University,1243
Bethel University,1035
Bethune-Cookman University,913
Binghamton University,1415
Biola University,1258
Birmingham-Southern College,1197
Black Hills State University,1050
Blue Mountain Christian University,1047
Bluefield State University,998
Bluffton University,1020
Boise Bible College,1080
Boston College,1501
Boston University,1473
Bowdoin College,1514
Bowie State University,935
Bowling Green State University-Main Campus,1118
Bradley University,1237
Brandeis University,1473
Brenau University,1087
Brevard College,1064
Bridgewater College,1225
Bridgewater State University,1127
Brigham Young University,1376
Brigham Young University-Hawaii,1104
Brigham Young University-Idaho,1123
Brown University,1546
Bryant University,1263
Bryn Athyn College of the New Church,1174
Bryn Mawr College,1404
Bucknell University,1389
Buena Vista University,1090
Bushnell University,1120
Butler University,1282
Cabarrus College of Health Sciences,1020
Cabrini University,1145
Cairn University-Langhorne,1154
California Lutheran University,1224
Calvary University,1008
Calvin University,1205
Capital University,1118
Carleton College,1491
Carnegie Mellon University,1545
Carroll College,1170
Carroll University,1209
Carson-Newman University,1111
Carthage College,1113
Case Western Reserve University,1501
Catawba College,1136
Cedar Crest College,1070
Cedarville University,1246
Centenary College of Louisiana,1171
Central Baptist College,1022
Central College,1115
Central Connecticut State University,1091
Central Methodist University-College of Liberal Arts and Sciences,1090
Central Michigan University,1099
Centre College,1345
Chamberlain University-Illinois,868
Chaminade University of Honolulu,1155
Champlain College,1262
Chapman University,1353
Charleston Southern University,1056
Chatham University,1205
Chowan University,970
Christian Brothers University,1069
Christopher Newport University,1207
Citadel Military College of South Carolina,1184
Claremont McKenna College,1514
Clark University,1339
Clarke University,1060
Clarkson University,1307
Clayton  State University,973
Clemson University,1341
Cleveland Institute of Art,1156
Cleveland State University,980
Coastal Carolina University,1128
Coe College,1206
Colby College,1500
Colgate University,1480
College of Charleston,1238
College of Coastal Georgia,1001
College of Our Lady of the Elms,1240
College of Saint Benedict,1185
College of Saint Mary,1120
College of the Holy Cross,1354
College of the Ozarks,1125
Colorado College,1445
Colorado Mesa University,1070
Colorado School of Mines,1403
Colorado State University Pueblo,1005
Columbia University in the City of New York,1547
Columbus State University,994
Commonwealth University of Pennsylvania,1093
Conception Seminary College,1250
Concord University,980
Concordia College at Moorhead,1192
Concordia University Ann Arbor,1250
Concordia University Texas,988
Concordia University-Nebraska,1148
Concordia University-Wisconsin,1250
Connecticut College,1412
Converse University,1124
Cornell College,1246
Cornell University,1520
Cottey College,1190
Covenant College,1254
Creighton University,1296
Culinary Institute of America,1089
Culver-Stockton College,1020
CUNY Bernard M Baruch College,1310
CUNY Brooklyn College,1310
CUNY City College,1340
CUNY Hunter College,1350
CUNY John Jay College of Criminal Justice,1140
CUNY Lehman College,1010
CUNY Medgar Evers College,980
CUNY New York City College of Technology,1040
CUNY Queens College,1210
CUNY York College,1100
Curry College,1130
D'Youville  University,1040
Dakota State University,1129
Dallas Baptist University,1109
Dallas Christian College,1022
Dartmouth College,1533
Davidson College,1448
Davis & Elkins College,985
Delaware State University,984
Delaware Valley University,1180
Delta State University,1091
Denison University,1395
DePaul University,1254
DePauw University,1287
DeSales University,1199
DeVry University-Illinois,1050
DigiPen Institute of Technology,1295
Dillard University,1089
DLP Conemaugh Memorial Medical Center,1040
Dominican University,1022
Dominican University New York,1160
Dominican University of California,1194
Dordt University,1175
Drake University,1288
Drew University,1247
Drexel University,1337
Drury University,1212
Duke University,1539
Dunwoody College of Technology,1050
Duquesne University,1257
Earlham College,1250
East Carolina University,1143
East Central University,1019
East Stroudsburg University of Pennsylvania,1078
East Tennessee State University,1114
Eastern Connecticut State University,1200
Eastern Illinois University,1010
Eastern Kentucky University,1089
Eastern Michigan University,1046
Eastern Nazarene College,1035
Eastern New Mexico University-Main Campus,965
Eckerd College,1256
Elizabethtown College,1190
Elmhurst University,1116
Elmira College,1239
Elon University,1222
Embry-Riddle Aeronautical University-Daytona Beach,1256
Embry-Riddle Aeronautical University-Prescott,1256
Embry-Riddle Aeronautical University-Worldwide,1193
Emerson College,1359
Emmanuel College,1263
Emmaus Bible College,1109
Emory & Henry University,1171
Emory University,1507
Emory University-Oxford College,1513
Emporia State University,1090
Endicott College,1263
Escuela de Artes Plasticas y Diseno de Puerto Rico,985
Fairfield University,1323
Fairmont State University,993
Faith Baptist Bible College and Theological Seminary,1088
Farmingdale State College,1104
Faulkner University,1016
Fayetteville State University,972
Felician University,1020
Ferris State University,1001
Ferrum College,990
Fisk University,1236
Fitchburg State University,1114
Flagler College,1099
Florida Agricultural and Mechanical University,1100
Florida Atlantic University,1119
Florida College,1068
Florida Gulf Coast University,1120
Florida Institute of Technology,1213
Florida International University,1154
Florida Polytechnic University,1294
Florida Southern College,1263
Florida State University,1323
Fordham University,1412
Fort Hays State University,1118
Fort Lewis College,1084
Fort Valley State University,864
Framingham State University,1150
Francis Marion University,1039
Franciscan University of Steubenville,1218
Franklin and Marshall College,1394
Franklin College,1119
Franklin Pierce University,1030
Franklin W Olin College of Engineering,1540
Freed-Hardeman University,1109
Friends University,1014
Furman University,1364
Gallaudet University,857
Gardner-Webb University,1146
George Fox University,1170
George Mason University,1247
George Washington University,1433
Georgetown College,1149
Georgetown University,1494
Georgia College & State University,1150
Georgia Institute of Technology-Main Campus,1447
Georgia Southern University,1057
Georgia Southwestern State University,998
Georgia State University,1149
Georgia State University-Perimeter College,963
Gettysburg College,1350
Gonzaga University,1316
Gordon College,1268
Gordon State College,950
Goshen College,1049
Goucher College,1225
Grace College and Theological Seminary,1088
Grambling State University,955
Grand Canyon University,1095
Grand Valley State University,1079
Greenville University,1034
Grinnell College,1486
Grove City College,1261
Guilford College,1120
Gustavus Adolphus College,1320
Gwynedd Mercy University,1110
Hamilton College,1487
Hamline University,1197
Hampden-Sydney College,1168
Hampton University,1062
Hannibal-LaGrange University,1020
Hanover College,1197
Hardin-Simmons University,1064
Harding University,1187
Hartwick College,1170
Harvard University,1553
Harvey Mudd College,1537
Haverford College,1498
Hawaii Pacific University,1180
Hendrix College,1336
High Point University,1242
Hilbert College,1060
Hillsdale College,1433
Hobart William Smith Colleges,1296
Hofstra University,1294
Hollins University,1256
Holy Cross College,1229
Holy Family University,1030
Hope College,1237
